STUDENTS.ID,STU.TYPES,STU.TYPE.DATES,STU.TYPE.END.DATES,EffectiveDatetime,CurrentFlag
5080899,CCPP,2018-06-28,2022-08-05,2021-10-26T03:24:38Z,Y
5016048,NULL,2020-06-01,9999-12-31,2021-08-10T15:13:08Z,Y
5039890,CCPP,2018-06-07,2020-06-01,2020-06-25T03:25:20Z,Y
5096411,NULL,2020-06-01,9999-12-31,2021-02-03T04:24:40Z,Y
5059428,CCPP,2018-06-20,2019-08-05,2020-02-13T18:54:10Z,Y
5090033,CCPP,2018-06-06,2020-06-01,2022-03-22T03:24:38Z,Y
5006338,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:16Z,Y
5025706,CCPP,2019-04-22,2022-08-05,2021-12-01T04:24:41Z,Y
5088315,CCPP,2018-06-11,2019-08-05,2021-12-02T04:24:44Z,Y
5035797,NULL,2020-08-05,9999-12-31,2020-02-13T18:53:51Z,Y
5006338,CCPP,2018-11-15,2019-08-05,2020-02-13T18:54:16Z,Y
5035797,CCPP,2019-06-07,2020-08-05,2020-02-13T18:53:51Z,Y
5041976,CCPP,2018-05-01,2020-06-01,2020-04-25T03:25:38Z,Y
5042632,CCPP,2017-06-06,2019-08-05,2020-02-13T18:54:25Z,Y
5014254,CCPP,2016-06-20,2020-08-05,2020-02-13T18:54:09Z,Y
5041976,NULL,2020-06-01,9999-12-31,2020-04-25T03:25:38Z,Y
5006071,NULL,2020-08-05,9999-12-31,2020-02-13T18:54:11Z,Y
5006071,CCPP,2018-08-14,2020-08-05,2020-02-13T18:54:11Z,Y
5003409,NULL,2019-08-05,9999-12-31,2020-02-13T18:53:53Z,Y
5077343,NULL,2022-08-05,9999-12-31,2021-11-24T04:24:41Z,Y
5053511,NULL,2022-08-05,9999-12-31,2021-10-27T03:24:41Z,Y
5039017,NULL,2019-08-05,9999-12-31,2021-04-17T03:24:37Z,Y
5084009,NULL,2020-08-05,9999-12-31,2021-11-09T04:24:38Z,Y
5089854,NULL,2020-08-05,9999-12-31,2020-02-13T18:54:08Z,Y
5003409,CCPP,2017-08-14,2019-08-05,2020-02-13T18:53:53Z,Y
5091577,NULL,2022-08-05,9999-12-31,2022-03-08T04:24:39Z,Y
5077343,CCPP,2019-04-23,2022-08-05,2021-11-24T04:24:41Z,Y
5035182,NULL,2020-06-01,9999-12-31,2020-04-28T03:25:18Z,Y
